№,Словоформа,Частота I,Ранг,I норм (i\K),r^(-1),0.1*r^(-1)
254,боже,1,11,0.0033,0.0909,0.0091
255,сохрани,1,11,0.0033,0.0909,0.0091
256,трусости,1,11,0.0033,0.0909,0.0091
257,карьерных,1,11,0.0033,0.0909,0.0091
258,соображений,1,11,0.0033,0.0909,0.0091
259,тд,1,11,0.0033,0.0909,0.0091
260,уступить,1,11,0.0033,0.0909,0.0091
261,вопросе,1,11,0.0033,0.0909,0.0091
262,заставляет,1,11,0.0033,0.0909,0.0091
263,вас,1,11,0.0033,0.0909,0.0091
264,отказаться,1,11,0.0033,0.0909,0.0091
265,своих,1,11,0.0033,0.0909,0.0091
266,надеюсь,1,11,0.0033,0.0909,0.0091
267,высоких,1,11,0.0033,0.0909,0.0091
268,принять,1,11,0.0033,0.0909,0.0091
269,победу,1,11,0.0033,0.0909,0.0091
270,злорадствуя,1,11,0.0033,0.0909,0.0091
271,побежденным,1,11,0.0033,0.0909,0.0091
272,торжествуя,1,11,0.0033,0.0909,0.0091
273,оскорбляя,1,11,0.0033,0.0909,0.0091
274,самолюбия,1,11,0.0033,0.0909,0.0091
275,оппонента,1,11,0.0033,0.0909,0.0091
276,красиво,1,11,0.0033,0.0909,0.0091
277,одно,1,11,0.0033,0.0909,0.0091
278,самых,1,11,0.0033,0.0909,0.0091
279,больших,1,11,0.0033,0.0909,0.0091
280,интеллектуальных,1,11,0.0033,0.0909,0.0091
281,удовольствий,1,11,0.0033,0.0909,0.0091
282,следить,1,11,0.0033,0.0909,0.0091
283,ведется,1,11,0.0033,0.0909,0.0091
284,умелыми,1,11,0.0033,0.0909,0.0091
285,умными,1,11,0.0033,0.0909,0.0091
286,спорщиками,1,11,0.0033,0.0909,0.0091
287,более,1,11,0.0033,0.0909,0.0091
288,глупого,1,11,0.0033,0.0909,0.0091
289,чем,1,11,0.0033,0.0909,0.0091
290,аргументации,1,11,0.0033,0.0909,0.0091
291,гоголя,1,11,0.0033,0.0909,0.0091
292,разговор,1,11,0.0033,0.0909,0.0091
293,двух,1,11,0.0033,0.0909,0.0091
294,дам,1,11,0.0033,0.0909,0.0091
295,мертвых,1,11,0.0033,0.0909,0.0091
296,душах,1,11,0.0033,0.0909,0.0091
297,милая,1,11,0.0033,0.0909,0.0091
298,спорящего,1,11,0.0033,0.0909,0.0091
299,аргументов,1,11,0.0033,0.0909,0.0091
300,появляются,1,11,0.0033,0.0909,0.0091
301,просто,1,11,0.0033,0.0909,0.0091
302,мнения,1,11,0.0033,0.0909,0.0091
